id,target
0,1
2,1
3,1
9,0
11,0
12,1
21,1
22,1
27,0
29,0
30,1
35,0
42,0
43,0
45,0
46,1
47,1
51,0
58,1
60,1
69,0
70,0
72,1
75,0
84,0
87,0
88,0
90,1
94,1
99,0
101,1
103,1
106,1
108,0
111,0
115,0
116,0
122,1
123,0
124,0
125,0
127,1
140,0
142,0
147,1
148,0
150,0
152,0
154,0
155,0
166,0
167,0
169,0
177,0
179,0
181,1
186,1
188,0
189,0
192,0
200,0
202,1
206,1
207,0
214,1
217,1
223,1
224,1
227,0
228,1
230,1
233,1
234,1
236,1
239,1
250,1
255,0
257,1
259,1
275,1
278,0
282,1
284,0
286,0
288,1
292,0
295,0
300,0
304,1
305,1
306,0
308,1
311,0
317,0
319,0
323,0
324,0
325,0
326,0
333,0
339,0
342,0
343,1
350,0
351,0
357,0
359,0
362,1
366,1
367,0
369,0
373,0
374,0
376,0
377,0
378,0
379,0
382,0
385,0
387,0
388,0
391,0
392,0
395,0
399,0
400,1
403,1
405,0
408,1
411,0
414,0
416,1
417,1
422,0
425,1
428,1
430,1
431,0
433,1
434,1
439,0
441,1
449,0
458,0
460,0
464,0
473,0
488,1
491,1
494,0
497,0
500,1
505,1
507,0
508,0
510,1
511,0
515,1
525,1
529,1
532,1
534,1
537,1
539,0
541,1
545,1
547,0
548,0
549,0
553,0
554,1
555,1
557,1
562,1
566,1
572,1
573,0
582,0
586,0
587,0
590,0
591,0
593,0
595,1
596,0
597,0
601,0
602,0
605,0
610,0
616,0
618,1
620,0
626,1
627,1
629,1
632,0
634,0
639,1
645,0
647,1
648,0
650,1
663,0
666,0
668,1
670,0
673,0
676,0
678,1
692,1
693,1
694,1
695,0
696,1
698,1
701,0
703,0
707,0
708,1
711,0
715,0
718,1
722,0
723,0
733,0
741,0
742,0
743,0
747,0
749,1
750,1
756,1
757,1
760,1
764,0
765,1
766,1
768,1
769,1
771,0
772,1
776,1
778,0
780,0
785,1
789,1
792,1
793,1
811,0
813,0
816,0
821,0
824,0
825,0
827,0
830,1
831,1
839,1
844,1
847,1
850,0
854,1
855,0
858,0
861,1
862,1
865,0
869,1
879,1
880,1
887,1
889,1
897,1
900,1
901,1
904,1
908,1
909,1
910,1
913,1
914,1
917,0
918,1
920,1
922,1
924,1
925,0
927,1
933,0
937,0
943,0
949,0
950,0
954,1
966,1
967,0
969,1
970,0
973,1
975,1
980,0
988,0
989,0
995,0
1000,1
1003,0
1007,0
1011,0
1012,1
1013,0
1014,1
1016,1
1019,0
1025,1
1027,0
1028,1
1030,1
1033,0
1034,1
1039,1
1046,0
1047,0
1053,0
1055,0
1056,0
1059,1
1060,1
1063,0
1064,0
1068,1
1076,0
1086,0
1087,1
1089,0
1092,0
1095,1
1096,0
1097,0
1100,0
1101,0
1107,1
1108,0
1111,0
1115,0
1116,0
1121,0
1125,0
1127,1
1131,1
1133,1
1135,0
1137,0
1140,0
1144,1
1147,1
1148,0
1150,0
1158,1
1159,1
1161,0
1163,1
1165,1
1169,1
1171,1
1172,1
1176,0
1180,1
1184,0
1186,1
1187,1
1192,1
1193,0
1194,0
1197,1
1200,1
1205,0
1210,1
1216,0
1220,1
1231,0
1233,1
1246,1
1247,1
1248,1
1255,1
1256,0
1257,1
1258,1
1260,1
1261,1
1265,0
1266,1
1268,0
1274,1
1281,1
1285,1
1286,1
1291,0
1292,1
1295,1
1299,1
1306,0
1310,0
1311,1
1313,1
1314,1
1322,1
1323,0
1325,0
1329,1
1330,1
1333,1
1336,1
1339,1
1342,1
1344,0
1355,1
1357,1
1358,1
1359,1
1364,1
1366,1
1367,1
1370,1
1373,1
1377,1
1386,0
1387,1
1392,1
1397,1
1398,1
1400,0
1403,1
1404,1
1410,1
1413,1
1416,1
1417,0
1423,1
1424,0
1426,1
1427,1
1428,0
1430,1
1434,1
1435,1
1437,0
1438,1
1442,1
1446,1
1451,1
1457,1
1461,0
1462,1
1465,1
1468,1
1469,1
1471,1
1476,0
1478,0
1481,0
1489,1
1490,0
1492,1
1496,0
1512,1
1516,1
1517,0
1528,1
1529,1
1536,0
1539,1
1541,0
1542,0
1548,1
1550,0
1551,0
1552,0
1557,1
1563,0
1564,0
1565,1
1566,0
1571,0
1578,1
1581,1
1583,0
1584,1
1586,1
1589,1
1592,1
1598,1
1606,1
1612,0
1616,0
1620,0
1624,1
1629,0
1630,0
1635,1
1640,1
1641,0
1642,1
1651,1
1655,0
1656,0
1659,1
1664,1
1667,1
1668,1
1674,0
1678,1
1680,1
1681,0
1682,1
1685,0
1695,0
1696,1
1697,0
1704,0
1708,1
1711,0
1713,0
1714,0
1717,1
1729,0
1730,1
1732,1
1734,1
1736,0
1738,0
1742,0
1743,0
1746,1
1748,0
1749,1
1751,0
1758,1
1764,0
1765,0
1777,1
1778,1
1781,0
1782,0
1783,0
1785,1
1788,1
1793,1
1794,1
1795,0
1797,1
1800,0
1801,0
1805,1
1806,1
1819,1
1820,0
1825,0
1828,1
1829,1
1830,1
1839,1
1843,1
1844,1
1846,1
1849,0
1850,1
1854,1
1855,1
1858,1
1859,1
1862,1
1867,0
1868,1
1871,0
1872,0
1874,1
1876,0
1879,1
1884,0
1891,1
1894,0
1896,0
1902,0
1903,1
1904,0
1906,1
1907,0
1912,1
1913,1
1923,0
1926,0
1928,0
1930,0
1931,0
1934,0
1936,1
1944,1
1946,0
1947,0
1958,0
1964,0
1970,0
1974,1
1977,0
1978,0
1982,0
1984,1
1988,0
1993,0
1997,0
1998,0
2002,1
2004,0
2005,1
2008,0
2011,1
2013,0
2018,0
2021,1
2025,1
2029,0
2030,1
2032,0
2037,0
2041,0
2044,0
2048,0
2052,1
2053,0
2054,0
2062,0
2065,1
2066,0
2072,0
2079,0
2080,1
2085,1
2088,1
2090,1
2092,0
2093,1
2101,0
2104,0
2105,0
2106,0
2107,1
2120,0
2124,1
2127,0
2130,1
2132,1
2135,0
2137,0
2140,0
2143,1
2147,0
2151,1
2152,0
2155,1
2156,1
2162,1
2165,0
2166,1
2167,1
2168,0
2170,1
2178,1
2180,0
2182,0
2184,1
2185,0
2187,0
2196,1
2197,1
2199,1
2200,1
2201,1
2202,1
2206,0
2208,0
2218,0
2223,0
2224,1
2226,0
2228,0
2232,1
2234,0
2243,0
2247,0
2249,0
2252,1
2253,0
2259,0
2261,0
2264,0
2268,0
2269,0
2270,1
2276,1
2283,1
2287,1
2290,0
2291,1
2293,0
2295,0
2302,1
2305,1
2310,0
2313,1
2316,1
2320,1
2322,1
2323,0
2326,1
2328,0
